vc,owner,managed_by_csa,env_name,server_group_name,vm_id,uuid,name,overall_status,ip_address,mac_address,datacenter,cluster_compute_resource,resource_pool
cdl,,N,,,vm-20741,421b8ca6-4c28-278f-4de6-b79e6ec6d6c5,CSA401+OO1002+CP401,null,n/a,n/a,CSL-Cluster,CSL,
AO,,N,,,vm-27961,422451ec-701d-8fa2-3e1a-742806fedb2d,CSA401+OO907,null,n/a,00:50:56:a4:10:05,MiniLIT-Unit,Cloud-001,CSL-RP-TEST
JJ,,N,,,vm-6047,42040c83-ddea-5796-83e0-42346a51d324,csa401-001002,null,n/a,00:50:56:84:31:e4,CSL-JJ,C2,
cdl,,N,,,vm-20294,421be67e-ad77-81c8-5265-4904bd06d7f9,CSA401OO1002,null,n/a,n/a,CSL-Cluster,CSL,
cdl,,N,,,vm-20294,421be67e-ad77-81c8-5265-4904bd06d7f9,CSA401OO1002,null,n/a,n/a,CSL-Cluster,CSA QA,
cdl,,N,,,vm-281,421f39e3-6f28-783e-c4d8-b1f4748e0e32,CSA40InstallFest01-bkup-1,null,n/a,00:50:56:9f:13:01,CSL-Cluster,CSL,
cdl,,N,,,vm-92,421f7995-096a-96f9-7dec-35b91411c038,CSA40-OO1002-CP401,null,10.1.4.141,00:50:56:9f:01:bb,CSL-Cluster,CSL,
JJ,,N,,,vm-5161,4204f1b3-3b84-eeb9-41dc-f7e251b4c7fa,CSA40-OO1002-VM01,null,16.77.19.215,00:50:56:84:71:cb,CSL-JJ,C2,
JJ,,N,,,vm-6323,4204876e-2cda-c629-315c-8439ad24ce04,CSA41,null,16.77.19.125,00:50:56:84:45:bf,CSL-JJ,C2,CSL-OVDC1 (fba45087-ddf8-4da9-88da-3d7dd323f22a)
cdl,,N,,,vm-14893,421bbf6e-50d3-2aec-f488-db441cefb8fb,CSA41_OO1010_MRBITS,null,10.1.4.247,00:50:56:9b:37:3d,CSL,CSL-Lab1,
JJ,,N,,,vm-6840,420412d6-73e9-9716-329f-3993e5ba3693,CSA41001002,null,16.77.19.139,00:50:56:84:45:e5,CSL-JJ,C2,
JJ,,N,,,vm-6948,420408f0-1ec2-110d-a64b-0cbe6281af1d,CSA41009070008_2,null,16.77.19.145,00:50:56:84:45:ec,CSL-JJ,C2,
JJ,,N,,,vm-6900,4204132b-7821-0390-1c9d-5e4baa90293f,CSA410-OO907008,null,16.77.19.0,00:50:56:84:45:97,CSL-JJ,C2,
cdl,,N,,,vm-23541,421bd516-5d5a-f57b-c494-8f2682cd088c,CSA41-1010,null,10.1.7.128,00:50:56:9b:1b:a2,CSL-Cluster,CSL,
cdl,,N,,,vm-7378,421bf52a-2c9e-7ff3-1b1c-8a235ae06377,CSA41-20140604,null,10.1.13.42,00:50:56:9b:4d:c7,CSL-Cluster,CSL,
JJ,,N,,,vm-6871,4204ee2d-38f1-bf34-81cc-7540863e37ab,CSA41oo1010,null,16.77.19.175,00:50:56:84:72:12,CSL-JJ,C2,
JJ,,N,,,vm-5782,4204ee50-debb-ceb1-724d-204f7cebd9e8,CSA41OO1010_MRBITS,null,16.77.19.70,00:50:56:84:70:fa,CSL-JJ,C2,
cdl,,N,,,vm-21855,421b6a04-6a34-7f33-a0c7-194bc10b75b3,CSA41OO1010-20140916,null,n/a,n/a,CSL-Cluster,CSL,
JJ,,N,,,vm-6757,4204f6f8-ad07-2674-90fd-1e91929bbfb7,csa41oo907,null,16.77.19.69,00:50:56:84:45:9c,CSL-JJ,C2,
cdl,,N,,,vm-21716,421b1358-82cf-ff88-e72f-b1c85f8537fa,CSA41OO9070008-VM,null,10.1.7.5,00:50:56:9b:5e:71,CSL-Cluster,CSL,
JJ,,N,,,vm-6945,420470c6-2de0-7154-e573-280cbd9bff10,CSA41OO9070008-VM,null,16.77.19.28,00:50:56:84:45:98,CSL-JJ,C2,
JJ,,N,,,vm-6409,4204aff5-3d50-cb9a-6bc8-bf83d4ef8896,CSA41OO9070008-VM,null,16.77.19.68,00:50:56:84:45:9b,CSL-JJ,C2,
JJ,,N,,,vm-6507,42040bfd-988f-3d89-a0cb-586094c93c99,CSA41OO90-Test,null,16.77.19.124,00:50:56:84:45:be,CSL-JJ,C2,
cdl,,N,,,vm-15173,421bd732-c403-adcb-22a6-2eda9254981e,CSA41oo97,null,10.1.5.26,00:50:56:9b:14:0d,CSL-Cluster,CSL,
cdl,,N,,,vm-674,421fa724-060d-6373-e287-06f8cc0fb014,CSA4-2663,null,10.1.4.242,00:50:56:9b:61:5b,CSL,CSL-Lab1,
cdl,,N,,,vm-553,421f39a6-e7ba-b771-2d1d-14ded1a6ed3a,csa4-F5,null,10.1.4.235,00:50:56:9f:05:4e,CSL,CSL-Lab1,
JJ,,N,,,vm-6851,42049ead-f5a6-bfee-c337-23c16f15731b,CSA4-OO10-From-Working Templ,null,16.77.19.153,00:50:56:84:2f:d9,CSL-JJ,C2,CSL-OVDC1 (fba45087-ddf8-4da9-88da-3d7dd323f22a)
cdl,,N,,,vm-3354,421beeca-7b7b-900e-2c82-7e725e0e1686,CSA4-OS-CP4_cp301,null,10.1.9.204,00:50:56:9b:08:9b,CSL,CSL-Lab1,
AO,,N,,,vm-25286,4224e736-b69f-b32c-3ce1-74640cb22ca0,CSA4-POC1402,null,169.254.127.217,00:50:56:a4:07:d3,MiniLIT-Unit,n/a,
JJ,,N,,,vm-2423,4204ed1a-91e9-26c1-9390-e35067649a5d,CSA4x-1010,null,16.77.19.20,00:50:56:84:04:3c,CSL-JJ,C2,
AO,,N,,,vm-35824,4224176f-0487-8914-a795-53049353f99e,CSA-CentOS-Hard1-72,null,n/a,n/a,MiniLIT-Unit,n/a,
AO,,N,,,vm-33343,42244296-0333-a670-7ceb-c904d6f876ec,CSA-CentsOS-Postgres and OO10.10_1,null,16.78.118.94,00:50:56:a4:11:07,MiniLIT-Unit,n/a,
AO,,N,,,vm-33372,4224fdfb-e103-3837-d267-36af085142b2,CSA-CentsOS-Postgres and OO10.10_2,null,16.78.118.98,00:50:56:a4:11:26,MiniLIT-Unit,n/a,
AO,,N,,,vm-14025,42246a61-d7c9-9abf-f61e-2a3876651528,CSADEVBLR,null,16.78.122.4,00:50:56:a4:2c:44,MiniLIT-Unit,Cloud-001,
